name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Paint Protection Solutions LLC,25.114814,55.2148974,-0.1264219486466118,0.9120649282801067,9 AM-3 PM,9 AM-3 PM,Closed,9 AM-3 PM,9 AM-3 PM,9 AM-3 PM,9 AM-3 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Lawyers for the Liberal law firm,25.202319,55.268036,-0.13606964972424265,1.0611465350493527,8 AM-12 PM,Closed,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,8 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
صيدلية بوابة الشفاء,23.6597164,53.7280409,-0.13690858025273228,-1.0259959597200987,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Pharmacy,0
GRINTA TOURS L.L.C,25.1876338,55.2705553,-0.1346015212993858,0.7629833215108593,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Agency,0
GRINTA TOURS L.L.C,25.1876338,55.2705553,-0.1346015212993858,0.7629833215108593,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Agency,0
Lamar Tours - Travel Agency,25.1876338,55.2705553,-0.13208472971391685,0.9120649282801067,9 AM-4 PM,9 AM-3 PM,Closed,9 AM-4 PM,9 AM-4 PM,9 AM-4 PM,9 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,0
Lamar Tours - Travel Agency,25.1876338,55.2705553,-0.13208472971391685,0.9120649282801067,9 AM-4 PM,9 AM-3 PM,Closed,9 AM-4 PM,9 AM-4 PM,9 AM-4 PM,9 AM-4 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,0
High Note Pool & Sky Lounge,25.2484292,55.2837623,-0.030364403134548232,0.31573850120312,12 PM-3 AM,12 PM-3 AM,12 PM-3 AM,12 PM-3 AM,12 PM-3 AM,12 PM-3 AM,12 PM-3 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Restaurant,0
Sutton Amusement Co,35.5938369,-77.35337369999999,-0.1375377781490995,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,4
Flash Casino Heemstede,52.350019,4.621085,-0.13376259077089614,-0.4296695326431127,10 AM-3 AM,10 AM-3 AM,10 AM-1 AM,10 AM-1 AM,10 AM-1 AM,10 AM-1 AM,10 AM-1 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,1
